DASHBOARD EJECUTIVO - ALVAROVELASCO.NET SRL,,,,,,,
Fecha: 07 Noviembre 2025,,,Tipo Cambio: 507 CRC/USD,,Usuario: Álvaro Velasco,
,,,,,,,
EFECTIVO HOY,,,ALERTAS CRÍTICAS,,,
$4302.10,,,🔴 4 TC BNCR vencidas: $13295.02,,,
Cobertura: 45.9 días,,,🔴 IVA vencido: $533.92 (52 días mora),,,
,,,🔴 A/P vencido: $454.16 (Intcomex + SEA),,,
RECURSOS TOTALES,,,🟠 Efectivo bajo: Solo 45 días operación,,,
$23222.49,,,🟠 Eurocomp $2007.68 vence en 9 días,,,
Efectivo: $4302.10,,,,,
Ahorros: $8053.97,,,ACCIONES INMEDIATAS 48H,,,
A/R: $10866.42,,,1. Pagar IVA $533.92 HOY,,,
,,,2. Cobrar VWR $2800 + Grupo Acción $1689,,,
DEUDA TOTAL,,,3. Pagar Intcomex vencido $410.09,,,
$51483.67,,,4. Negociar plan pago 4 TC BNCR,,,
TC: $16382.69,,,,,
A/P: $6103.66,,,,,
Hacienda: $9799.63,,,GASTOS FIJOS MENSUALES,,,
Nissan: $19197.69,,,$2809.38,,,
,,,Nómina: $1000 (35.6%),,,
DÉFICIT,,,Vehículo: $859 (30.6%),,,
-$28261.18,,,Servicios: $380 (13.5%),,,
Razón Corriente: 0.451,,,Impuestos: $353 (12.6%),,,
,,,Software: $217 (7.7%),,,
TOP 5 CLIENTES A/R,,,,,
VWR International,$2800.00,25.8%,TOP 3 PROVEEDORES A/P,,,
Grupo Acción,$1689.04,15.5%,Eurocomp 203637,$2007.68,32.9%,
Alfipac,$761.05,7.0%,Intcomex Cloud,$2317.09,38.0%,
3-102-887892 SRL,$691.56,6.4%,Intcomex Lenovo,$679.12,11.1%,
Waipio SA,$687.27,6.3%,TOTAL TOP 3:,$5003.89,82.0%,
TOTAL TOP 5:,$6629.92,61.0%,,,
,,,,,
PLAN SANITIZACIÓN TC (12 MESES),,,AHORRO VIVIENDA (24 MESES),,,
Deuda actual: $16382.69,,,Meta: $45000.00,,,
Intereses normales: $34470,,,Actual: $8053.97,17.9%,
Con plan avalanche: $16382,,,Pendiente: $36946.03,82.1%,
AHORRO: $18088,,,,,
Método: Pagar tasa más alta primero,,,Fase 1 (1-6): $0/mes - Sanitizar TC,,,
,,,Fase 2 (7-12): $500/mes - Transición,,,
PROYECCIÓN 90 DÍAS,,,Fase 3 (13-24): $2500/mes - Aceleración,,,
Optimista (100% cobros): $8500,,,Proyección mes 24: $41053.97,91.2%,
Realista (70% cobros): $4050,,,,,
Pesimista (50% cobros): $1200,,,,,
,,,,,
ÚLTIMA ACTUALIZACIÓN: 07/11/2025 08:00:00,,,Sistema: Excel + Power BI,,,
