KPI,Valor Actual,Meta,Estado,Fórmula,Interpretación
Razón Corriente,0.451,>1.5,CRÍTICO,"=(Efectivo+Ahorros+AR)/(TC+AP+IVA+Hacienda+Nissan)","Capacidad pagar deudas corto plazo"
Días Cobertura Efectivo,45.9 días,>90 días,CRÍTICO,"=Efectivo/(GastosFijos/30)","Días operación sin ingresos"
DSO (Days Sales Outstanding),54.3 días,<45 días,ALERTA,"=(AR/VentasPromedio3M)*30","Tiempo promedio cobrar facturas"
Working Capital,"-$28,261.18",>$10000,CRÍTICO,"=ActivosCorrientes-PasivosCorrientes","Capital disponible operaciones"
% TC Vencidas,81.1%,0%,CRÍTICO,"=TCVencido/TCTotal*100","Porcentaje tarjetas morosas"
Ratio Deuda/Activos,2.22,<1.0,CRÍTICO,"=DeudaTotal/ActivosTotal","Apalancamiento financiero"
% A/R Top 2,41.3%,<30%,ALERTA,"=Top2Clientes/TotalAR*100","Concentración riesgo clientes"
Gastos Fijos/Ingresos,46.8%,<40%,ALERTA,"=GastosFijos/IngresosPromedio*100","Eficiencia operativa"
Margen Operativo,7.9%,>15%,BAJO,"=(Ingresos-Gastos)/Ingresos*100","Rentabilidad operaciones"
Liquidez Inmediata,0.186,>0.5,CRÍTICO,"=Efectivo/(TC+AP)","Capacidad pago inmediato"
Cobertura Intereses TC,N/A,>2.0,N/A,"=IngresosNetos/InteresesTC","Capacidad pagar intereses"
% Ahorro Meta Vivienda,17.9%,100%,EN PROGRESO,"=AhorroActual/MetaVivienda*100","Progreso ahorro $45k"
Velocidad Cobranza,26 clientes,<20,ALERTA,"=COUNT(ClientesConSaldo)","Cantidad cuentas cobrar"
Concentración AP,54.2%,<40%,ALERTA,"=Top3Proveedores/TotalAP*100","Riesgo proveedores"
ROI Plan Sanitización,110%,>50%,EXCELENTE,"=AhorroIntereses/InversionTiempo","Retorno plan pago deuda"
