TRANSACCIONES POR FECHA;;;;;
;;;;;
Banco Promerica Costa Rica;;;;;
Fecha del reporte: jueves, 6 de noviembre de 2025 12:13;;;;;
Rango de Fechas: 26/10/2025 - 6/11/2025;;;;;
Número de cuenta: 40000003881774-CUENTA CORRIENTE CORPORATIVA DOLARES;;;;;
Transacciones;;;;;
Fecha;Documento;Descripción;Débitos;Créditos;Saldo
27/10/2025;5325194;TEF ELEC PAGO ESPH# 00000000000108511979;39.59;;1,442.08
27/10/2025;5325195;TEF ELEC PAGO ESPH# 00000000000108506679;189.73;;1,252.35
27/10/2025;5325197;TEF ELEC PAGO ICETEL# 000000000000002025;392.68;;859.67
28/10/2025;8241248;CD: CPF_SERVICIOS_RADIOL, CD BAC;;56.5;916.17
28/10/2025;8241249;CD: ORTODEC_SERVICIOS_RA, CD BAC;;56.5;972.67
28/10/2025;8241251;CD: ORTODONCIA_DE_LA_CRU, CD BAC;;356.5;1,329.17
28/10/2025;8241539;CD: SMART_WEB_SERVICES_S, CD BAC;;1,237.35;2,566.52
29/10/2025;611261;TFT:CR76010200009452308296: Pago de tarj;3;;2,563.52
29/10/2025;611261;TFT:CR76010200009452308296: Pago de tarj;305.5;;2,258.02
29/10/2025;611329;TFT:CR76010200009452308296: pago tarjeta;3;;2,255.02
29/10/2025;611329;TFT:CR76010200009452308296: pago tarjeta;101.83;;2,153.19
29/10/2025;611345;TFT:CR76010200009452308296: Curso Pricin;3;;2,150.19
29/10/2025;611345;TFT:CR76010200009452308296: Curso Pricin;101.83;;2,048.36
29/10/2025;2788366;Comisión. Debito por Transf. Sinpe;0.75;;2,047.61
29/10/2025;31889087;DD: CARROFACIL DE COSTA RICA SOCIE, TRAN;800;;1,247.61
30/10/2025;93194651;GRUPO PORCINAS DE: Cancela fact 2487 2;;1,171.18;2,418.79
30/10/2025;2.5103E+14;Transferencia a ALVARO VELASCONET SOCIED;;282.5;2,701.29
30/10/2025;66679628;TEF. ELEC Volio Partners pago fact 2502;;284.76;2,986.05
30/10/2025;8254868;CD: SMART_WEB_SERVICES_S, CD BAC;;149.16;3,135.21
30/10/2025;8254872;CD: GENTRA_DE_COSTA_RICA, CD BAC;;226;3,361.21
30/10/2025;730298;DON FERNANDO HEREDIA HEREDIA CR;226.83;;3,134.38
30/10/2025;737072;FARMAVALUE HEREDIA LA AURHEREDIA CR;40.46;;3,093.92
30/10/2025;754410;UNOPETROL BARREAL HEREDIA CR;63.03;;3,030.89
03/11/2025;67169898;TEF. ELEC pago CCSS;733.2;;2,297.69
04/11/2025;5490555;PEREZ BENAVIDES Y: facturas 2535 2530;;761.06;3,058.75
;;;;;
Total de Débitos;3,004.43;;;;
Total de Créditos;4,581.51;;;;
